#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
biogrid:111493	biogrid:110592	-	-	entrez gene/locuslink:5499|entrez gene/locuslink:PPP1CA|entrez gene/locuslink:PP-1A|entrez gene/locuslink:PP1A|entrez gene/locuslink:PP1alpha|entrez gene/locuslink:PPP1A	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0415"(enzymatic study)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857678|biogrid:857679	-
biogrid:110592	biogrid:113361	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:7529|entrez gene/locuslink:YWHAB|entrez gene/locuslink:RP1-148E22.1|entrez gene/locuslink:GW128|entrez gene/locuslink:HEL-S-1|entrez gene/locuslink:HS1|entrez gene/locuslink:KCIP-1|entrez gene/locuslink:YWHAA	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857680	-
biogrid:110592	biogrid:113363	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:7531|entrez gene/locuslink:YWHAE|entrez gene/locuslink:14-3-3E|entrez gene/locuslink:HEL2|entrez gene/locuslink:KCIP-1|entrez gene/locuslink:MDCR|entrez gene/locuslink:MDS	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857681	-
biogrid:110592	biogrid:113365	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:7533|entrez gene/locuslink:YWHAH|entrez gene/locuslink:LL22NC03-44A4.1|entrez gene/locuslink:YWHA1	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857682	-
biogrid:110592	biogrid:113364	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:7532|entrez gene/locuslink:YWHAG|entrez gene/locuslink:14-3-3GAMMA|entrez gene/locuslink:PPP1R170	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857683	-
biogrid:110592	biogrid:116168	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:10971|entrez gene/locuslink:YWHAQ|entrez gene/locuslink:14-3-3|entrez gene/locuslink:1C5|entrez gene/locuslink:HS1	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857684	-
biogrid:110592	biogrid:113366	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:7534|entrez gene/locuslink:YWHAZ|entrez gene/locuslink:14-3-3-zeta|entrez gene/locuslink:HEL-S-3|entrez gene/locuslink:HEL4|entrez gene/locuslink:KCIP-1|entrez gene/locuslink:YWHAD	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857685	-
biogrid:110592	biogrid:109072	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:2810|entrez gene/locuslink:SFN|entrez gene/locuslink:YWHAS	psi-mi:"MI:0004"(affinity chromatography technology)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:857686	-
biogrid:204750	biogrid:110592	-	-	entrez gene/locuslink:23834|entrez gene/locuslink:Cdc6|entrez gene/locuslink:RP23-333D2.2|entrez gene/locuslink:CDC18L	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Hein MY (2015)"	pubmed:26496610	taxid:10090	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:1460640	-
biogrid:211577	biogrid:110592	-	-	entrez gene/locuslink:66591|entrez gene/locuslink:Mad2l1bp|entrez gene/locuslink:0610009D16Rik|entrez gene/locuslink:2510031P20Rik|entrez gene/locuslink:AU018945|entrez gene/locuslink:AW550977|entrez gene/locuslink:C76045|entrez gene/locuslink:CMT2A|entrez gene/locuslink:CMT2B|entrez gene/locuslink:Mad2lbp|entrez gene/locuslink:mKIAA0110	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Hein MY (2015)"	pubmed:26496610	taxid:10090	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:1460641	-
biogrid:230076	biogrid:110592	-	-	entrez gene/locuslink:218885|entrez gene/locuslink:Oxnad1|entrez gene/locuslink:2410002F01Rik|entrez gene/locuslink:AW492292|entrez gene/locuslink:BC019806	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Hein MY (2015)"	pubmed:26496610	taxid:10090	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:1460642	-
biogrid:111362	biogrid:110592	-	-	entrez gene/locuslink:5347|entrez gene/locuslink:PLK1|entrez gene/locuslink:PLK|entrez gene/locuslink:STPK13	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Hein MY (2015)"	pubmed:26496610	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:1445513	-
biogrid:114632	biogrid:110592	-	-	entrez gene/locuslink:9197|entrez gene/locuslink:SLC33A1|entrez gene/locuslink:ACATN|entrez gene/locuslink:AT-1|entrez gene/locuslink:AT1|entrez gene/locuslink:CCHLND|entrez gene/locuslink:SPG42	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Hein MY (2015)"	pubmed:26496610	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:1445514	-
biogrid:110592	biogrid:111765	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:5801|entrez gene/locuslink:PTPRR|entrez gene/locuslink:EC-PTP|entrez gene/locuslink:PCPTP1|entrez gene/locuslink:PTP-SL|entrez gene/locuslink:PTPBR7|entrez gene/locuslink:PTPRQ	psi-mi:"MI:0018"(two hybrid)	"Yao Z (2017)"	pubmed:28065597	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:2212084	-
uniprotkb:Q04912	uniprotkb:Q04912	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0107"(surface plasmon resonance)	Gorlatova et al. (2010)	imex:IM-24508|pubmed:22087277	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10957880	intact-miscore:0.40
uniprotkb:Q04912	uniprotkb:P26927	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:hgfl_human|psi-mi:MST1|uniprotkb:Q6GTN4|uniprotkb:A8MSX3|uniprotkb:Q14870|uniprotkb:Q13350|uniprotkb:A6NLA3|uniprotkb:D3F15S2|uniprotkb:DNF15S2|uniprotkb:HGFL|uniprotkb:Macrophage stimulatory protein|uniprotkb:Macrophage-stimulating protein|uniprotkb:MST1|intact:EBI-6929133	psi-mi:"MI:0114"(x-ray crystallography)|psi-mi:"MI:0028"(cosedimentation in solution)|psi-mi:"MI:0107"(surface plasmon resonance)	Chao et al. (2014)|Gorlatova et al. (2010)	imex:IM-24509|pubmed:25193665|imex:IM-24508|pubmed:22087277	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10959498|intact:EBI-11175650|intact:EBI-10957880|intact:EBI-10956041|intact:EBI-10959273	intact-miscore:0.72
uniprotkb:O00400	uniprotkb:Q04912-2	-	-	psi-mi:acatn_human|psi-mi:SLC33A1|uniprotkb:D3DNK4|uniprotkb:B2R5Q2|uniprotkb:SLC33A1|uniprotkb:ACATN|uniprotkb:AT1|uniprotkb:Solute carrier family 33 member 1|intact:EBI-11135403	psi-mi:q04912-2|psi-mi:MST1R|uniprotkb:MST1R|uniprotkb:CDw136|uniprotkb:PTK8|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:sf-RON|intact:EBI-10980344	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11135399	intact-miscore:0.35
uniprotkb:Q62190	uniprotkb:P35222	-	-	psi-mi:ron_mouse|psi-mi:Mst1r|uniprotkb:E9QMZ4|uniprotkb:Q62555|uniprotkb:Mst1r|uniprotkb:Ron|uniprotkb:Stk|uniprotkb:Stem cell-derived tyrosine kinase|uniprotkb:p185-Ron|intact:EBI-4566500	psi-mi:ctnb1_human|psi-mi:CTNNB1|uniprotkb:Q8NEW9|uniprotkb:Q8NI94|uniprotkb:Q9H391|uniprotkb:A8K1L7|uniprotkb:Beta-catenin|uniprotkb:OK/SW-cl.35|uniprotkb:PRO2286|uniprotkb:CTNNB1|uniprotkb:CTNNB|intact:EBI-491549|intact:EBI-491563|dip:DIP-122N	psi-mi:"MI:0424"(protein kinase assay)	Wagh et al. (2011)	pubmed:21423209|imex:IM-16580	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:1262"(I2D)	intact:EBI-4566534	intact-miscore:0.44
uniprotkb:P14618-1	uniprotkb:Q04912	-	-	psi-mi:p14618-1|psi-mi:PKM|uniprotkb:M2-PK|uniprotkb:PKM2|uniprotkb:PKM|uniprotkb:Cytosolic thyroid hormone-binding protein|uniprotkb:OIP3|uniprotkb:Opa-interacting protein 3|uniprotkb:PK2|uniprotkb:PK3|uniprotkb:Pyruvate kinase 2/3|uniprotkb:Pyruvate kinase muscle isozyme|uniprotkb:Thyroid hormone-binding protein 1|uniprotkb:Tumor M2-PK|uniprotkb:p58|intact:EBI-4304679	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0424"(protein kinase assay)	Keller et al. (2014)	imex:IM-22313|pubmed:24606918	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9354692	intact-miscore:0.44
uniprotkb:O43157	uniprotkb:Q04912	-	-	psi-mi:plxb1_human|psi-mi:PLXNB1|uniprotkb:Q6NY20|uniprotkb:Q9UIV7|uniprotkb:Q9UJ92|uniprotkb:Q9UJ93|uniprotkb:A6H8Y2|uniprotkb:PLXNB1|uniprotkb:KIAA0407|uniprotkb:SEP|uniprotkb:Semaphorin receptor SEP|uniprotkb:PLXN5|intact:EBI-1111488	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Conrotto et al. (2004)	imex:IM-20467|pubmed:15184888	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2637567|intact:EBI-2637592|intact:EBI-2637638	intact-miscore:0.52
uniprotkb:Q04912	uniprotkb:O15031	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:plxb2_human|psi-mi:PLXNB2|uniprotkb:Q7KZU3|uniprotkb:Q9BSU7|uniprotkb:A6QRH0|uniprotkb:MM1|uniprotkb:PLXNB2|uniprotkb:KIAA0315|intact:EBI-722004	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Conrotto et al. (2004)	imex:IM-20467|pubmed:15184888	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2637600|intact:EBI-2637576	intact-miscore:0.52
uniprotkb:Q9ULL4	uniprotkb:Q04912	-	-	psi-mi:plxb3_human|psi-mi:PLXNB3|uniprotkb:Q9HDA4|uniprotkb:B7Z3E6|uniprotkb:F5H773|uniprotkb:PLXNB3|uniprotkb:KIAA1206|uniprotkb:PLXN6|intact:EBI-311073	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Conrotto et al. (2004)	imex:IM-20467|pubmed:15184888	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2637608|intact:EBI-2637584	intact-miscore:0.52
uniprotkb:Q8CJH3	uniprotkb:Q04912	-	-	psi-mi:plxb1_mouse|psi-mi:Plxnb1|uniprotkb:E9QKS4|uniprotkb:Q6ZQC3|uniprotkb:Q80ZZ1|uniprotkb:Plxnb1|uniprotkb:Kiaa0407|intact:EBI-2637650	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Conrotto et al. (2004)	imex:IM-20467|pubmed:15184888	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2637679	intact-miscore:0.40
uniprotkb:P22681	uniprotkb:Q04912	-	-	psi-mi:cbl_human|psi-mi:CBL|uniprotkb:A3KMP8|uniprotkb:Signal transduction protein CBL|uniprotkb:Proto-oncogene c-Cbl|uniprotkb:Casitas B-lineage lymphoma proto-oncogene|uniprotkb:RING finger protein 55|uniprotkb:CBL|uniprotkb:CBL2|uniprotkb:RNF55|uniprotkb:RING-type E3 ubiquitin transferase CBL|intact:EBI-518228	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0065"(isothermal titration calorimetry)	Ng et al. (2008)	pubmed:18273061|imex:IM-11554|mint:MINT-6538879	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7811892	intact-miscore:0.44
